,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,14,laisse,leash
12,15,eux,them
13,16,ville,city
14,17,chaque,each
15,18,arrivé,come
16,19,devrait,should
17,20,bébé,baby
18,21,longtemps,long time
19,22,heures,hours
20,23,vont,will
21,24,pendant,while
22,25,revoir,meet again
23,26,aucune,any
24,27,parle,speak
25,28,compris,understood
26,29,étaient,were
27,30,attention,Warning
28,31,voici,here is
29,32,pourrais,could
30,33,affaire,case
31,34,donner,give
32,35,type,type
33,36,leurs,their
34,37,donné,given
35,38,train,train
36,39,corps,body
37,40,endroit,place
38,41,yeux,eyes
39,42,façon,way
40,43,écoute,listen
41,44,dont,whose
42,45,trouve,find
43,46,premier,first
44,47,perdu,lost
45,48,main,hand
46,49,première,first
47,50,côté,side
48,51,pouvoir,power
49,52,vieux,old
50,53,sois,be
51,54,tiens,here
52,55,matin,morning
53,56,tellement,so much
54,57,enfant,child
55,58,point,point
56,60,suite,after
57,61,pardon,sorry
58,62,venez,come
59,63,devant,in front of
60,64,vers,towards
61,65,demandé,request
62,66,chambre,bedroom
63,67,mis,placed
64,68,belle,beautiful
65,69,droit,law
66,70,aujourd'hui,today
67,71,mari,husband
68,72,cause,cause
69,73,enfin,finally
70,74,espère,hope
71,75,eau,water
72,76,attendez,Wait
73,77,parti,left
74,78,boulot,job
75,79,arrêter,Stop
76,80,dirait,would say
77,81,terre,Earth
78,82,compte,account
79,83,donne,given
80,84,loin,far
81,86,chérie,sweetheart
82,87,gros,large
83,88,plutôt,rather
84,89,aura,will have
85,90,filles,girls
86,91,jouer,to play
87,92,bureau,office
